year,state,county_count,mean_frequency_pct,p90_frequency_pct,counties_ge_25_pct,drought_weeks,drought_level,minimum_weeks
2020,AL,67,1.436,7.547,0,51,D1,4
2020,AR,75,3.371,11.321,0,134,D1,4
2020,AZ,15,56.352,100,100,448,D1,4
2020,CA,58,71.535,88.679,89.655,2199,D1,4
2020,CO,64,79.57,100,100,2699,D1,4
2020,CT,9,26.625,43.396,55.556,127,D1,4
2020,DC,1,0,0,0,0,D1,4
2020,DE,3,0,0,0,0,D1,4
2020,FL,67,14.052,24.906,10.448,499,D1,4
2020,GA,159,0.095,0,0,8,D1,4
2020,IA,99,23.232,49.057,46.465,1219,D1,4
2020,ID,44,35.163,86.792,50,820,D1,4
2020,IL,102,7.381,24.34,9.804,399,D1,4
2020,IN,92,12.223,33.962,19.565,596,D1,4
2020,KS,105,35.148,78.491,49.524,1956,D1,4
2020,KY,120,0,0,0,0,D1,4
2020,LA,64,5.425,18.868,0,184,D1,4
2020,MA,14,38.41,44.717,100,285,D1,4
2020,MD,24,0.786,0,0,10,D1,4
2020,ME,16,45.873,50.943,100,389,D1,4
2020,MI,83,1.637,0,2.41,72,D1,4
2020,MN,87,14.943,52.453,22.989,689,D1,4
2020,MO,115,7.449,26.415,11.304,454,D1,4
2020,MS,82,3.451,16.981,0,150,D1,4
2020,MT,56,29.515,56.604,57.143,876,D1,4
2020,NC,100,0,0,0,0,D1,4
2020,ND,53,34.532,54.34,64.151,970,D1,4
2020,NE,93,39.257,49.057,92.473,1935,D1,4
2020,NH,10,48.302,52.83,100,256,D1,4
2020,NJ,21,0,0,0,0,D1,4
2020,NM,33,74.385,100,100,1301,D1,4
2020,NV,17,76.36,84.906,100,688,D1,4
2020,NY,62,19.385,39.245,35.484,637,D1,4
2020,OH,88,6.904,26.415,11.364,322,D1,4
2020,OK,77,26.268,70.566,33.766,1072,D1,4
2020,OR,36,82.6,100,94.444,1576,D1,4
2020,PA,67,20.276,36.604,35.821,720,D1,4
2020,RI,5,34.34,35.849,100,91,D1,4
2020,SC,46,0,0,0,0,D1,4
2020,SD,66,29.331,50.943,59.091,1026,D1,4
2020,TN,95,1.43,9.434,0,72,D1,4
2020,TX,254,46.769,64.151,83.071,6296,D1,4
2020,UT,29,85.036,100,100,1307,D1,4
2020,VA,133,0.071,0,0,5,D1,4
2020,VT,14,36.253,52.264,92.857,269,D1,4
